ID,CODE,NAME,NUM_CODE,SYMBOL,FRAC_SYMBOL,FRAC_UNIT,ROUND,FORMAT,TRIANGU,MINOR_CODES
1,ARS,Argentinian peso,32,,,100,,%2% %1$.2f,,
2,BRL,Brazilian real,986,R$,,100,,%3% %1$.2f,,
3,CAD,Canadian dollar,124,Can$,,100,,%3% %1$.2f,,
4,CLP,Chilean peso,152,Ch$,,100,,%3% %1$.0f,,
5,COP,Colombian peso,170,Col$,,100,,%3% %1$.2f,,
6,MXN,Mexican peso,484,Mex$,,100,,%3% %1$.2f,,
7,PEN,Peruvian nuevo sol,604,S/.,,100,,%3% %1$.2f,,
8,PEI,Peruvian inti,998,I/.,,100,,%3% %1$.2f,,
9,PEH,Peruvian sol,999,S./,,100,,%3% %1$.2f,,
10,TTD,Trinidad & Tobago dollar,780,TT$,,100,,%3% %1$.2f,,
11,USD,U.S. dollar,840,$,\xA2,100,,%3% %1$.2f,,
12,VEB,Venezuelan bolivar,862,Bs,,100,,%3% %1$.2f,,
13,MXV,Mexican Unidad de Inversion,979,MXV,,1,,1$.2f %3%,,
14,COU,Unidad de Valor Real (UVR) (funds code),970,COU,,100,,1$.2f %3%,,
15,CLF,Unidad de Fomento (funds code),990,CLF,,1,,1$.2f %3%,,
16,UYU,Uruguayan peso,858,UYU,,1,,1$.2f %3%,,
17,ZAR,South-African rand,710,R,,100,,%3% %1$.2f,,
18,AOA,Angolan kwanza,973,AOA,,100,,1$.2f %3%,,
19,EGP,Egyptian pound,818,EGP,,100,,1$.2f %3%,,
20,ETB,Ethiopian birr,230,ETB,,100,,1$.2f %3%,,
21,GHS,Ghanaian cedi,936,GHS,,100,,1$.2f %3%,,
22,KES,Kenyan shilling,404,KES,,100,,1$.2f %3%,,
23,MUR,Mauritian rupee,480,MUR,,100,,1$.2f %3%,,
24,MAD,Moroccan dirham,504,MAD,,100,,1$.2f %3%,,
25,NGN,Nigerian Naira,566,N,K,100,,%3% %1N.2f,,
26,TND,Tunisian dinar,788,TND,,1000,,1$.2f %3%,,
27,UGX,Ugandan shilling,800,UGX,,1,,1$.2f %3%,,
28,XOF,West African CFA franc,952,XOF,,100,,1$.2f %3%,,
29,ZMW,Zambian kwacha,967,ZMW,,100,,1$.2f %3%,,
30,INR,Indian rupee,356,Rs,,100,,%3% %1$.2f,,
31,THB,Thai baht,764,Bht,,100,,%1$.2f %3%,,
32,IQD,Iraqi dinar,368,ID,,1000,,%2% %1$.3f,,
33,MYR,Malaysian Ringgit,458,RM,,100,,%3% %1$.2f,,
34,NPR,Nepal rupee,524,NRs,,100,,%3% %1$.2f,,
35,SAR,Saudi riyal,682,SRls,,100,,%3% %1$.2f,,
36,CNY,Chinese yuan,156,Y,,100,,%3% %1$.2f,,
37,IRR,Iranian rial,364,Rls,,1,,%3% %1$.2f,,
38,JPY,Japanese yen,392,\xA5,,100,,%3% %1$.0f,,
39,KZT,Kazakstanti Tenge,398,Kzt,,100,,%3% %1$.3f,,
40,KWD,Kuwaiti dinar,414,KD,,1000,,%3% %1$.3f,,
41,TWD,Taiwan dollar,901,NT$,,100,,%3% %1$.2f,,
42,VND,Vietnamese Dong,704,,,100,,%1$.0f %3%,,
43,BDT,Bangladesh taka,50,Bt,,100,,%3% %1$.2f,,
44,IDR,Indonesian Rupiah,360,Rp,,100,,%3% %1$.2f,,
45,ILS,Israeli shekel,376,NIS,,100,,%1$.2f %3%,,
46,PKR,Pakistani rupee,586,Rs,,100,,%3% %1$.2f,,
47,HKD,Hong Kong dollar,344,HK$,,100,,%3% %1$.2f,,
48,SGD,Singapore dollar,702,S$,,100,,%3% %1$.2f,,
49,KRW,South-Korean won,410,W,,100,,%3% %1$.0f,,
50,CNH,Chinese yuan (Hong Kong),156,CNH,,100,,%3% %1$.2f,,
51,AED,United Arab Emirates dirham,784,AED,,100,,1$.2f %3%,,
52,BHD,Bahraini dinar,48,BHD,,1000,,1$.2f %3%,,
53,JOD,Jordanian dinar,400,JOD,,1000,,1$.2f %3%,,
54,OMR,Omani rial,512,OMR,,1000,,1$.2f %3%,,
55,PHP,Philippine peso,608,PHP,,100,,1$.2f %3%,,
56,QAR,Qatari riyal,634,QAR,,100,,1$.2f %3%,,
57,LKR,Sri Lankan rupee,144,LKR,,100,,1$.2f %3%,,
58,LTC,Litecoin,10005,LTC,,100000,,%3% %1$.5f,,
59,DASH,Dash coin,10006,DASH,,100000,,%2% %1$.5f,,
60,ETH,Ethereum,10001,ETH,,100000,,%3% %1$.5f,,
61,ZEC,Zcash,10007,ZEC,,100000,,%3% %1$.5f,,
62,BCH,Bitcoin Cash,10003,BCH,,100000,,%3% %1$.5f,,
63,BTC,Bitcoin,10000,BTC,,100000,,%3% %1$.5f,,
64,XRP,Ripple,10004,XRP,,100000,,%3% %1$.5f,,
65,ETC,Ethereum Classic,10002,ETC,,100000,,%3% %1$.5f,,
66,ATS,Austrian shilling,40,,,100,,%2% %1$.2f,,
67,BYR,Belarussian ruble,974,BR,,1,,%2% %1$.0f,,
68,BEF,Belgian franc,56,,,1,,%2% %1$.0f,,
69,GBP,British pound sterling,826,\xA3,p,100,,%3% %1$.2f,,
70,BGL,Bulgarian lev,100,lv,,100,,%1$.2f %3%,,
71,BGN,Bulgarian lev,975,BGN,,100,,1$.2F %3%,,
72,HRK,Croatian kuna,191,HRK,,100,,1$.2f %3%,,
73,CYP,Cyprus pound,196,\xA3,C,100,,%3% %1$.2f,,
74,CZK,Czech koruna,203,Kc,,100,,%1$.2f %3%,,
75,DKK,Danish krone,208,Dkr,,100,,%3% %1$.2f,,
76,DEM,Deutsche mark,276,DM,,100,,%1$.2f %3%,,
77,NLG,Dutch guilder,528,f,,100,,%3% %1$.2f,,
78,EEK,Estonian kroon,233,KR,,100,,%1$.2f %2%,,
79,EUR,European Euro,978,,,100,,%2% %1$.2f,,
80,FIM,Finnish markka,246,mk,,100,,%1$.2f %3%,,
81,FRF,French franc,250,,,100,,%1$.2f %2%,,
82,GEL,Georgian lari,981,GEL,,100,,1$.2F %3%,,
83,GRD,Greek drachma,300,,,100,,%1$.2f %2%,,
84,HUF,Hungarian forint,348,Ft,,1,,%1$.0f %3%,,
85,ISK,Iceland krona,352,IKr,,100,,%1$.2f %3%,,
86,IEP,Irish punt,372,,,100,,%2% %1$.2f,,
87,ITL,Italian lira,380,L,,1,,%3% %1$.0f,,
88,LVL,Latvian lat,428,Ls,,100,,%3% %1$.2f,,
89,LTL,Lithuanian litas,440,Lt,,100,,%1$.2f %3%,,
90,LUF,Luxembourg franc,442,F,,100,,%1$.0f %3%,,
91,MTL,Maltese lira,470,Lm,,100,,%3% %1$.2f,,
92,TRY,New Turkish lira,949,YTL,,100,,%1$.2f %3%,,
93,NOK,Norwegian krone,578,NKr,,100,,%3% %1$.2f,,
94,PLN,Polish zloty,985,zl,,100,,%1$.2f %3%,,
95,PTE,Portuguese escudo,620,Esc,,100,,%1$.0f %3%,,
96,ROL,Romanian leu,642,L,,100,,%1$.2f %3%,,
97,RON,Romanian new leu,946,L,,100,,%1$.2f %3%,,
98,RUB,Russian ruble,643,,,100,,%1$.2f %2%,,
99,RSD,Serbian dinar,941,RSD,,100,,1$.2f %3%,,
100,SKK,Slovak koruna,703,Sk,,100,,%1$.2f %3%,,
101,SIT,Slovenian tolar,705,SlT,,100,,%1$.2f %3%,,
102,ESP,Spanish peseta,724,Pta,,100,,%1$.0f %3%,,
103,SEK,Swedish krona,752,kr,,100,,%1$.2f %3%,,
104,CHF,Swiss franc,756,SwF,,100,,%3% %1$.2f,,
105,TRL,Turkish lira,792,TL,,100,,%1$.0f %3%,,
106,UAH,Ukrainian hryvnia,980,hrn,,100,,%1$.2f %3%,,
107,AUD,Australian dollar,36,A$,,100,,%3% %1$.2f,,
108,NZD,New Zealand dollar,554,NZ$,,100,,%3% %1$.2f,,
